WKT,nombre,descripción
"POINT (-0.9890889 41.6953807)",Zoilo Ríos,
"POINT (-0.4597679 42.1087865)",Aragon Hydrogen Foundation,
"POINT (-1.06507 41.6146261)",ARPA Equipos Móviles de Campaña,
"POINT (-0.1883027 41.0795008)",TechnoPark MotorLand,
"POINT (-0.8800973 41.6838715)",DAT César Alierta,
"POINT (-1.2889777 42.591664)",Valle H2V Navarra,
"POINT (2.0445089 41.5051377)",Area8,
"POINT (2.1630018 41.4008184)",Clúster MAV,
"POINT (1.2460106 41.1201714)",AEQT,
"POINT (2.1464743 41.39655279999999)",EOLICCAT,
"POINT (2.1230042 41.3396312)",Punto 13,
"POINT (2.1230371 41.3395905)",Barcelona - Catalunya Centre Logístic,
"POINT (-0.8988729999999999 41.649355)",AESAR,
"POINT (-1.6385104 42.797263)",AESNA Navarra,
"POINT (0.6193481000000001 41.61196229999999)",Asociación Provincial de Empresas de Automoción,
"POINT (1.2571392 41.1188066)",Col·legi d'Enginyers Industrials de Catalunya,
"POINT (-0.8937499999999999 41.6581543)",Delegación del Consejo Superior de Investigaciones Científicas en Aragón,
"POINT (2.1109431 41.5470746)",Gremio de Talleres,
"POINT (-0.4485077 40.9774233)",Proyecto Catalina Andorra - Generadora 1.700 Millones,
"POINT (-3.0691333 43.3221092)",B2CH Corredor Vasco del Hidrogeno,
"POINT (-2.9610496 43.2650429)",H24All - Estación de Servicio Petronor - Repsol,Mayor planta de hidrógeno verde de Europa
"POINT (-3.0819389 43.3287215)",Punto 22,
"POINT (-3.0818822 43.32695289999999)",Parque Tecnológico - Campus Abanto,
"POINT (-2.9367289 43.2606925)",Ente Vasco de la Energia,
"POINT (-2.92802 43.26448899999999)",Cluster De Energía (Basque Energy Cluster),
"POINT (-2.9681695 43.31671850000001)",Bizkaia Garbiker,
"POINT (-2.2933205 42.4475004)",planta de producción de hidrógeno verde situada en los municipios riojanos de Agoncillo y Arrúbal,
"POLYGON ((-2.9090228 43.5171148, -3.5297503 43.4692942, -2.7469744 43.0351979, -2.9090228 43.5171148))",H2 INTEGRA,
